Fecha,Post,Likes,Sentimiento
2025-09-29T06:13:58+0000,"Cuatro mujeres, incluidas dos menores, resultaron con quemaduras tras el incendio de una unidad de transporte público en Chilpancingo, Guerrero.  ",1,Neutro
2025-09-29T05:15:43+0000,"La Fiscalía de Quintana Roo rescató a 14 mujeres presuntas víctimas de trata de personas. Prestaban servicios sexuales por 250 pesos, mientras los establecimientos retenían 50 pesos de comisión. ",2,Neutro
2025-09-29T05:02:43+0000,Tragedia en Edomex: Protesta por ciclista atropellado en la carretera Toluca-Palmillas termina en balacera; dos personas resultan heridas y el responsable sigue prófugo. ,2,Neutro
2025-09-29T04:35:24+0000,La Facultad de Química de la UNAM suspende clases presenciales tras recibir amenazas digitales en redes y correo electrónico.,1,Neutro
2025-09-29T04:01:41+0000,"La jefa de Gobierno, Clara Brugada, recorrió zonas afectadas por las lluvias en Iztapalapa. Anunció apoyos inmediatos a familias y un vaso regulador para prevenir futuras inundaciones.  ",2,Neutro
2025-09-28T19:03:58+0000,"Inundaciones históricas afectan a CDMX y municipios del oriente mexiquense. Alertas activadas, Metro y Cablebús suspendidos, y servicios de emergencia movilizados para atender viviendas y vialidades. ",2,Neutro
2025-09-27T04:29:47+0000,4 mil personas participaron en la marcha por el 11º aniversario de Ayotzinapa en CDMX. ,1,Neutro
2025-09-27T04:19:53+0000,"En Tabasco, fuerzas de seguridad federales y estatales detuvieron a tres mujeres vinculadas a una célula delictiva de secuestro y extorsión. ",1,Neutro
2025-09-27T04:12:25+0000,El senador Adán Augusto López Hernández asegura que todos sus ingresos están declarados y acusa que las acusaciones buscan desacreditar a la Cuarta Transformación. ,2,Neutro
2025-09-27T03:57:50+0000,Una menor de 17 años fue atacada con cuchillo en Tlajomulco de Zúñiga. ,0,Neutro
