Fecha,Post,Likes,Sentimiento
2025-09-29T06:13:58+0000,"Cuatro mujeres, incluidas dos menores, resultaron con quemaduras tras el incendio de una unidad de transporte público en Chilpancingo, Guerrero.  ",1,negative
2025-09-29T05:15:43+0000,"La Fiscalía de Quintana Roo rescató a 14 mujeres presuntas víctimas de trata de personas. Prestaban servicios sexuales por 250 pesos, mientras los establecimientos retenían 50 pesos de comisión. ",2,neutral
2025-09-29T05:02:43+0000,Tragedia en Edomex: Protesta por ciclista atropellado en la carretera Toluca-Palmillas termina en balacera; dos personas resultan heridas y el responsable sigue prófugo. ,2,negative
2025-09-29T04:35:24+0000,La Facultad de Química de la UNAM suspende clases presenciales tras recibir amenazas digitales en redes y correo electrónico.,1,negative
2025-09-29T04:01:41+0000,"La jefa de Gobierno, Clara Brugada, recorrió zonas afectadas por las lluvias en Iztapalapa. Anunció apoyos inmediatos a familias y un vaso regulador para prevenir futuras inundaciones.  ",2,neutral
2025-09-28T19:03:58+0000,"Inundaciones históricas afectan a CDMX y municipios del oriente mexiquense. Alertas activadas, Metro y Cablebús suspendidos, y servicios de emergencia movilizados para atender viviendas y vialidades. ",2,neutral
2025-09-27T04:29:47+0000,4 mil personas participaron en la marcha por el 11º aniversario de Ayotzinapa en CDMX. ,1,neutral
2025-09-27T04:19:53+0000,"En Tabasco, fuerzas de seguridad federales y estatales detuvieron a tres mujeres vinculadas a una célula delictiva de secuestro y extorsión. ",1,negative
2025-09-27T04:12:25+0000,El senador Adán Augusto López Hernández asegura que todos sus ingresos están declarados y acusa que las acusaciones buscan desacreditar a la Cuarta Transformación. ,2,neutral
2025-09-27T03:57:50+0000,Una menor de 17 años fue atacada con cuchillo en Tlajomulco de Zúñiga. ,0,negative
2025-09-27T03:34:14+0000,"Una mujer apodada “Lady patadas” fue detenida en Benito Juárez, CDMX tras agredir a un policía. El momento quedó registrado en un video viral que circula en redes. ",1,neutral
2025-09-27T03:16:59+0000,"⚡️ Un mega apagón dejó sin electricidad a más de 2 millones de usuarios en Yucatán, Campeche y Quintana Roo. En Mérida, la falla coincidió con una tormenta que provocó caos en la ciudad. 🌧️ ",1,negative
2025-09-27T02:54:48+0000,Dos unidades del Metrobús Línea 2 chocaron cerca de la estación Xola en la Alcaldía Benito Juárez. Autoridades reportaron 12 lesionados. ,2,negative
2025-09-25T01:12:48+0000,"En Uriangato, Guanajuato, autoridades federales y estatales detuvieron a Genaro “N”, jefe de plaza relacionado con homicidio, extorsión y la privación de libertad de dos agentes. ",2,neutral
2025-09-24T23:57:34+0000,Tiroteo en centro de ICE en Dallas deja un muerto y un mexicano herido grave. La SRE confirmó acompañamiento consular y acceso irrestricto al connacional afectado. ,2,negative
2025-09-24T23:10:17+0000,"38 hombres de La Luz del Mundo fueron detenidos en Michoacán por portar armas, réplicas de rifles y equipo táctico. Entre ellos, un estadounidense. ",2,negative
2025-09-24T03:03:05+0000,"Hernán Bermúdez, exsecretario de Seguridad de Tabasco, fue vinculado a proceso por secuestro exprés, extorsión y asociación delictuosa. Podría enfrentar hasta 158 años de prisión. ",1,negative
2025-09-24T02:05:00+0000,"Ricardo Salinas Pliego pagó 25 millones de dólares para evitar su arresto en Estados Unidos tras perder un juicio contra AT&T, según Bloomberg. ",1,neutral
2025-09-24T01:36:46+0000,"Dos escoltas de la hija del gobernador de Sinaloa resultaron heridos en un intento de despojo de camioneta en Culiacán; la nieta del mandatario salió ilesa. 

https://estadored.mx/2025/09/escoltas-de-la-hija-del-gobernador-de-sinaloa-resultan-heridos-en-intento-de-despojo-de-camioneta-en-culiacan/",0,negative
2025-09-24T00:51:39+0000,La FGJCDMX colabora con la Fiscalía del Estado de México tras el hallazgo de los cuerpos de los músicos colombianos B-King y DJ Regio Clown en Cocotitlán.  ,0,neutral
2025-09-24T00:31:33+0000,"🌑🦇 Batman Azteca: Choque de Imperios llegó a cines. 

Hecha por animadores mexicanos, la cinta reimagina al Caballero de la Noche en el Imperio azteca para enfrentar al terrible Cortés. ",0,negative
2025-09-23T23:01:58+0000,"Alejandro Moreno denunció a Adán Augusto López ante la DEA, FBI y FGR por presuntos vínculos con el huachicol fiscal. El morenista respondió: “Yo no le hago caso a las mafufadas”. ",1,neutral
2025-09-23T21:56:16+0000,29 muertos y 16 hospitalizados tras la explosión en el puente de La Concordia en Iztapalapa. ,0,negative
2025-09-23T21:40:27+0000,El vehículo del periodista Víctor Hugo Ornelas fue vandalizado en Jalisco. ,1,negative
2025-09-23T21:27:39+0000,"El Servicio Secreto de EU desmanteló una red de dispositivos electrónicos cerca de la ONU en Nueva York, usados para amenazas a funcionarios y ataques a telecomunicaciones.  ",0,neutral
